date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:54:50	253293/253293	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Oct%202025%2010:24:51%20GMT	https://amitguptaforwork.hashnode.dev/mcar-mar-mnar	D:/Knowledge/AAPORTFOLIO/amitguptaforwork.github.io/posts/MyExternalArticles/MyWebsites/amitguptaforwork.hashnode.dev/mcar-mar-mnar.html	(from )
15:54:50	771/771	---MCZ	200	added ('OK')	text/plain	date:Thu,%2002%20Oct%202025%2010:24:52%20GMT	https://amitguptaforwork.hashnode.dev/robots.txt		(from )
15:54:51	1737/1737	---M--	200	added ('OK')	image/png	etag:%2244dbd6c6604fea535afd51851898f130%22	https://cdn.hashnode.com/res/hashnode/image/upload/v1611242155728/W3_BYVVVh.png	D:/Knowledge/AAPORTFOLIO/amitguptaforwork.github.io/posts/MyExternalArticles/MyWebsites/cdn.hashnode.com/res/hashnode/image/upload/v1611242155728/W3_BYVVVh.png	(from https://amitguptaforwork.hashnode.dev/mcar-mar-mnar)
15:54:51	679/679	---M--	200	added ('OK')	image/png	etag:%22dab8db0c874a2af98f4d3ad08f3d5b0c%22	https://cdn.hashnode.com/res/hashnode/image/upload/v1611242173172/AOX1gE2jc.png	D:/Knowledge/AAPORTFOLIO/amitguptaforwork.github.io/posts/MyExternalArticles/MyWebsites/cdn.hashnode.com/res/hashnode/image/upload/v1611242173172/AOX1gE2jc.png	(from https://amitguptaforwork.hashnode.dev/mcar-mar-mnar)
15:54:51	550/550	---M--	200	added ('OK')	image/png	etag:%2241913dc147a545bb3e2b6c4f44a050b4%22	https://cdn.hashnode.com/res/hashnode/image/upload/v1611242187756/TRTNYp32O.png	D:/Knowledge/AAPORTFOLIO/amitguptaforwork.github.io/posts/MyExternalArticles/MyWebsites/cdn.hashnode.com/res/hashnode/image/upload/v1611242187756/TRTNYp32O.png	(from https://amitguptaforwork.hashnode.dev/mcar-mar-mnar)
15:54:52	11195/11195	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Oct%202025%2010:24:53%20GMT	https://amitguptaforwork.hashnode.dev/static/images/brand/safari-pinned-tab-new.svg	D:/Knowledge/AAPORTFOLIO/amitguptaforwork.github.io/posts/MyExternalArticles/MyWebsites/amitguptaforwork.hashnode.dev/static/images/brand/safari-pinned-tab-new.svg	(from https://amitguptaforwork.hashnode.dev/mcar-mar-mnar)
15:54:53	253303/253303	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Oct%202025%2010:24:54%20GMT	https://amitguptaforwork.hashnode.dev/mcar-mar-mnar/rss.xml	D:/Knowledge/AAPORTFOLIO/amitguptaforwork.github.io/posts/MyExternalArticles/MyWebsites/amitguptaforwork.hashnode.dev/mcar-mar-mnar/rss.html	(from https://amitguptaforwork.hashnode.dev/mcar-mar-mnar)
15:54:53	402115/402115	---M--	200	added ('OK')	image/jpeg	etag:%229da69045132ed099933fda75f5194a5c%22	https://cdn.hashnode.com/res/hashnode/image/upload/v1759335348948/4ead57b0-0b81-454f-a5d5-938972c37be8.jpeg?w=1600&h=840&fit=crop&crop=entropy&auto=compress,format&format=webp	D:/Knowledge/AAPORTFOLIO/amitguptaforwork.github.io/posts/MyExternalArticles/MyWebsites/cdn.hashnode.com/res/hashnode/image/upload/v1759335348948/4ead57b0-0b81-454f-a5d5-938972c37be8a723.jpg	(from https://amitguptaforwork.hashnode.dev/mcar-mar-mnar)
15:54:53	48432/48432	---M--	200	added ('OK')	font/woff2	etag:W/%22bd30-1999fb9a5c0%22	https://amitguptaforwork.hashnode.dev/_next/static/media/e4af272ccee01ff0-s.p.woff2	D:/Knowledge/AAPORTFOLIO/amitguptaforwork.github.io/posts/MyExternalArticles/MyWebsites/amitguptaforwork.hashnode.dev/_next/static/media/e4af272ccee01ff0-s.p.woff2	(from https://amitguptaforwork.hashnode.dev/mcar-mar-mnar)
15:54:53	99115/99115	---MCZ	200	added ('OK')	text/css	etag:W/%221832b-1999fb9a5c0%22	https://amitguptaforwork.hashnode.dev/_next/static/css/62323deb9f18e06c.css	D:/Knowledge/AAPORTFOLIO/amitguptaforwork.github.io/posts/MyExternalArticles/MyWebsites/amitguptaforwork.hashnode.dev/_next/static/css/62323deb9f18e06c.css	(from https://amitguptaforwork.hashnode.dev/mcar-mar-mnar)
15:54:53	91460/91460	---MCZ	200	added ('OK')	application/javascript	etag:W/%2216544-1999fb9a5c0%22	https://amitguptaforwork.hashnode.dev/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	D:/Knowledge/AAPORTFOLIO/amitguptaforwork.github.io/posts/MyExternalArticles/MyWebsites/amitguptaforwork.hashnode.dev/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://amitguptaforwork.hashnode.dev/mcar-mar-mnar)
15:54:54	19597/19597	---MCZ	200	added ('OK')	application/javascript	etag:W/%224c8d-1999fb9a5c0%22	https://amitguptaforwork.hashnode.dev/_next/static/chunks/8820-56721d947d773244.js	D:/Knowledge/AAPORTFOLIO/amitguptaforwork.github.io/posts/MyExternalArticles/MyWebsites/amitguptaforwork.hashnode.dev/_next/static/chunks/8820-56721d947d773244.js	(from https://amitguptaforwork.hashnode.dev/mcar-mar-mnar)
15:54:54	17984/17984	---MCZ	200	added ('OK')	application/javascript	etag:W/%224640-1999fb9a5c0%22	https://amitguptaforwork.hashnode.dev/_next/static/chunks/3364-87c2ffca7936c855.js	D:/Knowledge/AAPORTFOLIO/amitguptaforwork.github.io/posts/MyExternalArticles/MyWebsites/amitguptaforwork.hashnode.dev/_next/static/chunks/3364-87c2ffca7936c855.js	(from https://amitguptaforwork.hashnode.dev/mcar-mar-mnar)
15:54:54	10768/10768	---MCZ	200	added ('OK')	application/javascript	etag:W/%222a10-1999fb9a5c0%22	https://amitguptaforwork.hashnode.dev/_next/static/chunks/8226.64bcf70d809f2c9f.js	D:/Knowledge/AAPORTFOLIO/amitguptaforwork.github.io/posts/MyExternalArticles/MyWebsites/amitguptaforwork.hashnode.dev/_next/static/chunks/8226.64bcf70d809f2c9f.js	(from https://amitguptaforwork.hashnode.dev/mcar-mar-mnar)
